"query","answer","base_template","chosen_template","domains"
"Move all of kofi's tasks that are in progress to in review","[]","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"can you move all of aisha's tasks that are in progress to in review?","[]","Move all of {name}'s tasks that are in progress to in review","can you move all of {name}'s tasks that are in progress to in review?","['project_management']"
"Move all of yuki's tasks that are in progress to in review","['project_management.update_task.func(task_id=""00000091"", field=""list_name"", new_value=""In Review"")']","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"Move all of dmitri's tasks that are in progress to in review","['project_management.update_task.func(task_id=""00000009"", field=""list_name"", new_value=""In Review"")']","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"Move all of luis's tasks that are in progress to in review","['project_management.update_task.func(task_id=""00000235"", field=""list_name"", new_value=""In Review"")']","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"can you move all of kofi's tasks that are in progress to in review?","[]","Move all of {name}'s tasks that are in progress to in review","can you move all of {name}'s tasks that are in progress to in review?","['project_management']"
"can you move all of amir's tasks that are in progress to in review?","[]","Move all of {name}'s tasks that are in progress to in review","can you move all of {name}'s tasks that are in progress to in review?","['project_management']"
"can you move all of carlos's tasks that are in progress to in review?","['project_management.update_task.func(task_id=""00000086"", field=""list_name"", new_value=""In Review"")']","Move all of {name}'s tasks that are in progress to in review","can you move all of {name}'s tasks that are in progress to in review?","['project_management']"
"Move all of leila's tasks that are in progress to in review","[]","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"Move all of aisha's tasks that are in progress to in review","[]","Move all of {name}'s tasks that are in progress to in review","Move all of {name}'s tasks that are in progress to in review","['project_management']"
"Add a new task to the Design backlog called Implement user profile management API and assign it to fatima. It's due on December 5.","['project_management.create_task.func(task_name=""Implement user profile management API"", board=""Design"", assigned_to_email=""fatima.khan@atlas.com"", due_date=""2023-12-05"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"I need to add a new task to the Design backlog called Develop prototype for data export and assign it to fatima. It's due on December 6. Can you do that?","['project_management.create_task.func(task_name=""Develop prototype for data export"", board=""Design"", assigned_to_email=""fatima.khan@atlas.com"", due_date=""2023-12-06"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","I need to add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}. Can you do that?","['project_management']"
"I need to add a new task to the Front end backlog called Create wireframe for dashboard and assign it to jinsoo. It's due on December 4. Can you do that?","['project_management.create_task.func(task_name=""Create wireframe for dashboard"", board=""Front end"", assigned_to_email=""jinsoo.kim@atlas.com"", due_date=""2023-12-04"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","I need to add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}. Can you do that?","['project_management']"
"Add a new task to the Front end backlog called Integrate Twilio SMS API with frontend and assign it to santiago. It's due on December 7.","['project_management.create_task.func(task_name=""Integrate Twilio SMS API with frontend"", board=""Front end"", assigned_to_email=""santiago.martinez@atlas.com"", due_date=""2023-12-07"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"Add a new task to the Back end backlog called Improve UX of sign-up flow and assign it to chenwei. It's due on December 2.","['project_management.create_task.func(task_name=""Improve UX of sign-up flow"", board=""Back end"", assigned_to_email=""chenwei.zhang@atlas.com"", due_date=""2023-12-02"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"Add a new task to the Front end backlog called Implement search functionality API and assign it to carlos. It's due on December 4.","['project_management.create_task.func(task_name=""Implement search functionality API"", board=""Front end"", assigned_to_email=""carlos.rodriguez@atlas.com"", due_date=""2023-12-04"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"can you add a new task called Fix bug in payment processing module to the Back end backlog and assign it to kofi? It's due on December 5.","['project_management.create_task.func(task_name=""Fix bug in payment processing module"", board=""Back end"", assigned_to_email=""kofi.mensah@atlas.com"", due_date=""2023-12-05"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","can you add a new task called {task_name} to the {board} backlog and assign it to {name}? It's due on {natural_language_due_date}.","['project_management']"
"Add a new task to the Back end backlog called Fix alignment issue in homepage and assign it to anaya. It's due on December 5.","['project_management.create_task.func(task_name=""Fix alignment issue in homepage"", board=""Back end"", assigned_to_email=""anaya.patel@atlas.com"", due_date=""2023-12-05"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"I need to add a new task to the Design backlog called Design UI for profile page and assign it to carlos. It's due on December 3. Can you do that?","['project_management.create_task.func(task_name=""Design UI for profile page"", board=""Design"", assigned_to_email=""carlos.rodriguez@atlas.com"", due_date=""2023-12-03"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","I need to add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}. Can you do that?","['project_management']"
"Add a new task to the Front end backlog called Fix bug in user authentication module and assign it to yuki. It's due on December 6.","['project_management.create_task.func(task_name=""Fix bug in user authentication module"", board=""Front end"", assigned_to_email=""yuki.tanaka@atlas.com"", due_date=""2023-12-06"", list_name=""Backlog"")']","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","Add a new task to the {board} backlog called {task_name} and assign it to {name}. It's due on {natural_language_due_date}.","['project_management']"
"can you move all of aisha's overdue tasks in the backlog to in progress?","[]","Move all of {name}'s overdue tasks in the backlog to in progress","can you move all of {name}'s overdue tasks in the backlog to in progress?","['project_management']"
"dmitri has a bunch of overdue tasks in the backlog. Can you move them to in progress?","[]","Move all of {name}'s overdue tasks in the backlog to in progress","{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management']"
"Move all of carlos's overdue tasks in the backlog to in progress","[]","Move all of {name}'s overdue tasks in the backlog to in progress","Move all of {name}'s overdue tasks in the backlog to in progress","['project_management']"
"Move all of jinsoo's overdue tasks in the backlog to in progress","['project_management.update_task.func(task_id=""00000250"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000257"", field=""list_name"", new_value=""In Progress"")']","Move all of {name}'s overdue tasks in the backlog to in progress","Move all of {name}'s overdue tasks in the backlog to in progress","['project_management']"
"leila has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management.update_task.func(task_id=""00000149"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000151"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000190"", field=""list_name"", new_value=""In Progress"")']","Move all of {name}'s overdue tasks in the backlog to in progress","{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management']"
"can you move all of santiago's overdue tasks in the backlog to in progress?","['project_management.update_task.func(task_id=""00000194"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000179"", field=""list_name"", new_value=""In Progress"")']","Move all of {name}'s overdue tasks in the backlog to in progress","can you move all of {name}'s overdue tasks in the backlog to in progress?","['project_management']"
"jinsoo has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management.update_task.func(task_id=""00000250"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000257"", field=""list_name"", new_value=""In Progress"")']","Move all of {name}'s overdue tasks in the backlog to in progress","{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management']"
"fatima has a bunch of overdue tasks in the backlog. Can you move them to in progress?","[]","Move all of {name}'s overdue tasks in the backlog to in progress","{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management']"
"Move all of nia's overdue tasks in the backlog to in progress","[]","Move all of {name}'s overdue tasks in the backlog to in progress","Move all of {name}'s overdue tasks in the backlog to in progress","['project_management']"
"kofi has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management.update_task.func(task_id=""00000220"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000244"", field=""list_name"", new_value=""In Progress"")', 'project_management.update_task.func(task_id=""00000234"", field=""list_name"", new_value=""In Progress"")']","Move all of {name}'s overdue tasks in the backlog to in progress","{name} has a bunch of overdue tasks in the backlog. Can you move them to in progress?","['project_management']"
