"query","answer","base_template","chosen_template","domains"
"Delete my last email from nadia","['email.delete_email.func(email_id=""00000479"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"Delete my last email from sofia","['email.delete_email.func(email_id=""00000438"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"Delete my last email from anaya","['email.delete_email.func(email_id=""00000166"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"nadia just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email.delete_email.func(email_id=""00000479"")']","Delete my last email from {name}","{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email']"
"Delete my last email from yuki","['email.delete_email.func(email_id=""00000149"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"I need to delete my last email from leila. Can you do that?","['email.delete_email.func(email_id=""00000052"")']","Delete my last email from {name}","I need to delete my last email from {name}. Can you do that?","['email']"
"Delete my last email from chenwei","['email.delete_email.func(email_id=""00000211"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"Delete my last email from kofi","['email.delete_email.func(email_id=""00000259"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"anaya just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email.delete_email.func(email_id=""00000166"")']","Delete my last email from {name}","{name} just sent me an email that I need to delete. Can you get rid of of the most recent email they sent me?","['email']"
"Delete my last email from jinsoo","['email.delete_email.func(email_id=""00000204"")']","Delete my last email from {name}","Delete my last email from {name}","['email']"
"All my emails from yuki from the last 3 days need to be deleted. Can you do that?","[]","Delete all my emails from {name} from the last {days} days","All my emails from {name} from the last {days} days need to be deleted. Can you do that?","['email']"
"Delete all my emails from yuki from the last 5 days","['email.delete_email.func(email_id=""00000149"")']","Delete all my emails from {name} from the last {days} days","Delete all my emails from {name} from the last {days} days","['email']"
"I need to get rid of all my emails from amir from the last 6 days. Can you do delete them?","['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']","Delete all my emails from {name} from the last {days} days","I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?","['email']"
"All my emails from santiago from the last 3 days need to be deleted. Can you do that?","['email.delete_email.func(email_id=""00000348"")']","Delete all my emails from {name} from the last {days} days","All my emails from {name} from the last {days} days need to be deleted. Can you do that?","['email']"
"I need to get rid of all my emails from nia from the last 4 days. Can you do delete them?","['email.delete_email.func(email_id=""00000066"")']","Delete all my emails from {name} from the last {days} days","I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?","['email']"
"I need to get rid of all my emails from raj from the last 3 days. Can you do delete them?","['email.delete_email.func(email_id=""00000402"")', 'email.delete_email.func(email_id=""00000199"")', 'email.delete_email.func(email_id=""00000140"")', 'email.delete_email.func(email_id=""00000421"")', 'email.delete_email.func(email_id=""00000245"")', 'email.delete_email.func(email_id=""00000436"")']","Delete all my emails from {name} from the last {days} days","I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?","['email']"
"I need to get rid of all my emails from nadia from the last 2 days. Can you do delete them?","['email.delete_email.func(email_id=""00000479"")']","Delete all my emails from {name} from the last {days} days","I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?","['email']"
"I need to get rid of all my emails from nadia from the last 4 days. Can you do delete them?","['email.delete_email.func(email_id=""00000070"")', 'email.delete_email.func(email_id=""00000479"")']","Delete all my emails from {name} from the last {days} days","I need to get rid of all my emails from {name} from the last {days} days. Can you do delete them?","['email']"
"Delete all my emails from jinsoo from the last 4 days","['email.delete_email.func(email_id=""00000204"")']","Delete all my emails from {name} from the last {days} days","Delete all my emails from {name} from the last {days} days","['email']"
"Delete all my emails from amir from the last 6 days","['email.delete_email.func(email_id=""00000196"")', 'email.delete_email.func(email_id=""00000291"")', 'email.delete_email.func(email_id=""00000188"")']","Delete all my emails from {name} from the last {days} days","Delete all my emails from {name} from the last {days} days","['email']"
"I need to send an email to kofi saying 'Hey Sam,

I wanted to let you know that I've completed the tasks for the status briefing. Looking forward to your feedback.

Cheers,
Leila' and title it 'Task Update on Improve UX of onboarding process'. Can you do that?","['email.send_email.func(recipient=""kofi.mensah@atlas.com"", subject=""Task Update on Improve UX of onboarding process"", body=""Hey Sam,\n\nI wanted to let you know that I\'ve completed the tasks for the status briefing. Looking forward to your feedback.\n\nCheers,\nLeila"")']","Send an email to {name} saying '{body}' and title it '{subject}'","I need to send an email to {name} saying '{body}' and title it '{subject}'. Can you do that?","['email']"
"please send an email to jinsoo saying 'Hi Sam,

Starting on 'Create wireframe for homepage' today. Any preliminary thoughts or resources you recommend before I dive in?

Best,
Nadia' and title it 'Task Update on Design logo for website'","['email.send_email.func(recipient=""jinsoo.kim@atlas.com"", subject=""Task Update on Design logo for website"", body=""Hi Sam,\n\nStarting on \'Create wireframe for homepage\' today. Any preliminary thoughts or resources you recommend before I dive in?\n\nBest,\nNadia"")']","Send an email to {name} saying '{body}' and title it '{subject}'","please send an email to {name} saying '{body}' and title it '{subject}'","['email']"
