"question","answer","template"
"Find the first email on October 4 and delete it","email.delete_email({'email_id': '00000214'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on October 29 and delete it","email.delete_email({'email_id': '00000025'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on December 28 and delete it","email.delete_email({'email_id': '00000343'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on December 17 and delete it","email.delete_email({'email_id': '00000011'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on October 30 and delete it","email.delete_email({'email_id': '00000355'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on December 25 and delete it","email.delete_email({'email_id': '00000359'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the first email on November 6 and delete it","email.delete_email({'email_id': '00000130'})","{'question': 'Find the first email on {natural_language_date} and delete it', 'answer': ""email.delete_email({{'email_id': '{first_email_id}'}})""}"
"Find the last email on November 25 and send an email to the sender with the subject 'Press Release Draft' and body 'Please review the attached draft of our upcoming press release.'","email.send_email({'recipient': 'Luis.Ortiz@company.com', 'subject': 'Press Release Draft', 'body': 'Please review the attached draft of our upcoming press release.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on October 20 and send an email to the sender with the subject 'Client Meeting Follow-up' and body 'Here is a summary of the points discussed in our recent client meeting.'","email.send_email({'recipient': 'Fatima.Khan@company.com', 'subject': 'Client Meeting Follow-up', 'body': 'Here is a summary of the points discussed in our recent client meeting.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
"Find the last email on October 14 and send an email to the sender with the subject 'Holiday Schedule Confirmation' and body 'Confirming the holiday schedule as discussed.'","email.send_email({'recipient': 'Carlos.Rodriguez@company.com', 'subject': 'Holiday Schedule Confirmation', 'body': 'Confirming the holiday schedule as discussed.'})","{'question': ""Find the last email on {natural_language_date} and send an email to the sender with the subject '{subject}' and body '{body}'"", 'answer': ""email.send_email({{'recipient': '{last_email_sender}', 'subject': '{subject}', 'body': '{body}'}})""}"
